fram	aa	fram
áður	aa	áður
en	c	en
komið	sþghen	koma
er	sfg3en	vera
á	ao	á
endurvinnslustöð	nveo	endurvinnslustöð
.	.	.
Styttir	sfg3en	stytta
það	fphen	það
dvöl	nveo	dvöl
á	aþ	á
stöðinni	nveþg	stöð
,	,	,
auðveldar	sfg3en	auðvelda
losun	nveo	losun
og	c	og
hindrar	sfg3en	hindra
biðraðamyndun	nveo	biðraðamyndun
.	.	.
Þegar	c	þegar
komið	sþghen	koma
er	sfg3en	vera
á	ao	á
stöðina	nveog	stöð
með	ao	með
vel	aa	vel
forflokkaðan	lkeosf	forflokkaður
úrgang	nkeo	úrgangur
skal	sfg3en	skulu
farið	sþghen	fara
með	ao	með
hvern	fokeo	hver
flokk	nkeo	flokkur
í	ao	í
sinn	fekeo	sinn
gám	nkeo	gámur
en	c	en
þeir	fpkfn	hann
eru	sfg3fn	vera
allir	fokfn	allur
vel	aa	vel
merktir	lkfnsf	merktur
.	.	.
Það	fphen	það
verður	sfg3en	verða
að	cn	að
athuga	sng	athuga
vel	aa	vel
að	c	að
það	fphen	það
séu	svg3fn	vera
engir	fokfn	enginn
aðskotahlutir	nkfn	aðskotahlutur
með	aþ	með
úrgangnum	nkeþg	úrgangur
sem	ct	sem
verið	sþghen	vera
er	sfg3en	vera
að	cn	að
safna	sng	safna
;	;	;
það	fphen	það
eyðileggur	sfg3en	eyðileggja
hráefnið	nheog	hráefni
og	c	og
veldur	sfg3en	valda
öðrum	fovfþ	annar
skemmdum	nvfþ	skemmd
.	.	.
Aðskotahlutur	nken	aðskotahlutur
er	sfg3en	vera
eitthvað	fohen	einhver
sem	ct	sem
á	sfg3en	eiga
ekki	aa	ekki
heima	aa	heima
í	aþ	í
tilteknum	lkeþsf	tiltekinn
gám	x	gámur
eða	c	eða
umhverfi	nheþ	umhverfi
.	.	.
Plast	nhen	plast
í	aþ	í
pappírsgámi	nkeþ	pappírsgámur
veldur	sfg3en	valda
verðfalli	nheþ	verðfall
á	aþ	á
erlendum	lkeþsf	erlendur
markaði	nkeþ	markaður
,	,	,
steypuklossi	nken	steypuklossi
í	aþ	í
garðaúrgangi	nkeþ	garðaúrgangur
brýtur	sfg3en	brjóta
greinatætarann	nkeog	greinatætari
o.s.frv.	as	o.s.frv.
Því	aa	því
er	sfg3en	vera
mikilvægt	lhensf	mikilvægur
að	cn	að
flokka	sng	flokka
vel	aa	vel
og	c	og
flokka	sng	flokka
rétt	aa	rétt
!	!	!
Starfsmenn	nkfn	starfsmaður
stöðvanna	nvfeg	stöð
veita	sfg3fn	veita
aðstoð	nveo	aðstoð
sína	feveo	sinn
við	ao	við
flokkun	nveo	flokkun
ef	c	ef
þarf	sfg3en	þurfa
og	c	og
leiðbeina	sfg3fn	leiðbeina
öllum	fokfþ	allur
þeim	fakfþ	sá
er	ct	er
leggja	sfg3fn	leggja
leið	nveo	leið
sína	feveo	sinn
á	ao	á
Endurvinnslustöðvar	nvfo-s	endurvinnslustöð
SORPU	nvee-s	Sorpa
.	.	.
Þar	aa	þar
má	sfg3en	mega
einnig	aa	einnig
nálgast	snm	nálgast
bæklinga	nkfo	bæklingur
um	ao	um
flokkun	nveo	flokkun
úrgangs	nkee	úrgangur
.	.	.
SORPA	nven-s	Sorpa
gefur	sfg3en	gefa
út	aa	út
flokkunartöflu	nveo	flokkunartafla
sem	ct	sem
er	sfg3en	vera
gott	lhensf	góður
hjálpartæki	nhen	hjálpartæki
við	ao	við
flokkun	nveo	flokkun
úrgangs	nkee	úrgangur
til	ae	til
endurvinnslu	nvee	endurvinnsla
.	.	.
Hægt	lhensf	hægur
er	sfg3en	vera
að	cn	að
skoða	sng	skoða
flokkunartöfluna	nveog	flokkunartafla
undir	aþ	undir
liðnum	nkeþg	liður
«	«	«
ýmis	fohfn	ýmis
skjöl	nhfn	skjal
»	»	»
.	.	.
Upplýsingar	nvfn	upplýsing
um	ao	um
flokkun	nveo	flokkun
úrgans	x	úrgangur
Endurvinnslustöðin	nveng	endurvinnslustöð
við	ao	við
Ánanaust	nhfo-s	Ánanaust
