lifandi	lheþof	lifandi
myndefni	nheþ	myndefni
,	,	,
veggspjöldum	nhfþ	veggspjald
og	c	og
kynningarbæklingum	nkfþ	kynningarbæklingur
,	,	,
að	aþ	að
sögn	nveþ	sögn
Ólafs	nkee-s	Ólafur
.	.	.
Þá	aa	þá
verður	sfg3en	verða
og	aa	og
til	ae	til
sýnis	nhee	sýni
margvísleg	lvensf	margvíslegur
önnur	foven	annar
útgáfustarfssemi	nven	útgáfustarfssemi
stofnunarinnar	nveeg	stofnun
.	.	.
Meðal	ae	meðal
annars	fohee	annar
hefur	sfg3en	hafa
verið	ssg	vera
tekinn	sþgken	taka
saman	aa	saman
sérstakur	lkensf	sérstakur
fræðslubæklingur	nken	fræðslubæklingur
,	,	,
sem	ct	sem
fjallar	sfg3en	fjalla
um	ao	um
stofnmatsaðferðir	nvfo	stofnmatsaðferð
fiskifræðinga	nkfe	fiskifræðingur
sem	ct	sem
ávallt	aa	ávallt
eru	sfg3fn	vera
tilefni	nhfn	tilefni
umræðu	nvee	umræða
hér	aa	hér
á	aþ	á
landi	nheþ	land
.	.	.
Þá	aa	þá
hefur	sfg3en	hafa
og	aa	og
verið	ssg	vera
unninn	sþgken	vinna
kynningarpési	nken	kynningarpési
um	ao	um
eldi	nheo	eldi
þorskseiða	nhfe	þorskseiði
,	,	,
en	c	en
bæði	c	bæði
aðferðafræðin	nveng	aðferðafræði
við	ao	við
stofnmat	nheo	stofnmat
og	c	og
möguleikar	nkfn	möguleiki
í	aþ	í
þorskeldi	nheþ	þorskeldi
hafa	sfg3fn	hafa
verið	ssg	vera
ofarlega	aa	ofarlega
á	aþ	á
baugi	nkeþ	baugur
í	aþ	í
sjávarútvegsumræðunni	nveþg	sjávarútvegsumræða
undanfarið	aa	undanfarið
.	.	.
Sérfræðingar	nkfn	sérfræðingur
frá	aþ	frá
Hafrannsóknastofnuninni	nveþgs	Hafrannsóknastofnunin
verða	sfg3fn	verða
til	ae	til
viðtals	nhee	viðtal
alla	fokfo	allur
sýningardagana	nkfog	sýningardagur
og	c	og
þannig	aa	þannig
mun	sfg3en	munu
gestum	nkfþ	gestur
gefast	snm	gefa
tækifæri	nhen	tækifæri
til	ae	til
þess	fphee	það
að	cn	að
ræða	sng	ræða
við	ao	við
þá	fpkfo	hann
og	c	og
fræðast	snm	fræða
um	ao	um
hvaðeina	foheo	hvaðeina
sem	ct	sem
tengist	sfm3en	tengja
starfsemi	nveþ	starfsemi
stofnunarinnar	nveeg	stofnun
.	.	.
Ekki	aa	ekki
er	sfg3en	vera
að	cn	að
efa	sng	efa
að	c	að
margir	lkfnsf	margur
sýningargestir	nkfn	sýningargestur
muni	svg3fn	munu
hafa	sng	hafa
áhuga	nkeo	áhugi
á	aþ	á
því	fpheþ	það
að	cn	að
ræða	sng	ræða
málin	nhfog	mál
við	ao	við
helstu	lkfove	heldri
ráðgjafa	nkfo	ráðgjafi
stjórnvalda	nhfe	stjórnvald
í	aþ	í
fiskveiðimálum	nhfþ	fiskveiðimál
augliti	nheþ	auglit
til	ae	til
auglitis	nhee	auglit
,	,	,
segir	sfg3en	segja
Ólafur	nken-s	Ólafur
að	aþ	að
lokum	nhfþ	lok
.	.	.
Útflutningur	nken	útflutningur
á	aþ	á
ferskum	lkeþsf	ferskur
fiski	nkeþ	fiskur
er	sfg3en	vera
um	aa	um
90%	tp	90%
af	aþ	af
heildarútflutningi	nkeþ	heildarútflutningur
Icelandair	e	Icelandair
Cargo	e	Cargo
,	,	,
en	c	en
félagið	nheng	félag
flytur	sfg3en	flytja
út	aa	út
á	aa	á
milli	aa	milli
15.000	ta	15.000
og	c	og
20.000	ta	20.000
tonn	nhfo	tonn
af	aþ	af
ferskum	lkeþsf	ferskur
fiski	nkeþ	fiskur
á	aþ	á
ári	nheþ	ár
.	.	.
Róbert	nken-s	Róbert
segir	sfg3en	segja
allt	foheo	allur
benda	sng	benda
til	ae	til
þess	fphee	það
að	c	að
ferskfiskmarkaðurinn	nkeng	ferskfiskmarkaður
eigi	svg3en	eiga
eftir	aa	eftir
að	cn	að
stækka	sng	stækka
vegna	ae	vegna
breytinga	nvfe	breyting
á	aþ	á
neysluvenjum	nvfþ	neysluvenjur
erlendis	aa	erlendis
þar	aa	þar
sem	c	sem
kröfur	nvfn	krafa
um	ao	um
ferskleika	nkeo	ferskleiki
eru	sfg3fn	vera
alltaf	aa	alltaf
að	cn	að
verða	sng	verða
meiri	lvfnvm	mikill
.	.	.
Einnig	aa	einnig
er	sfg3en	vera
sá	faken	sá
vaxtarbroddur	nken	vaxtarbroddur
sem	ct	sem
á	sfg3en	eiga
sér	fpkeþ	sig
stað	nkeo	staður
í	aþ	í
laxeldi	nheþ	laxeldi
hér	aa	hér
á	aþ	á
landi	nheþ	land
mjög	aa	mjög
áhugaverður	lkensf	áhugaverður
og	c	og
kemur	sfg3en	koma
ábyggilega	aa	ábyggilega
til	aa	til
með	ao	með
að	cn	að
skila	sng	skila
sér	fpkeþ	sig
mikið	aa	mikið
inn	aa	inn
á	ao	á
flug-ferskfiskmarkað	nkeo	flug-ferskfiskmarkaður
innan	ae	innan
skamms	lheesf	skammur
.	.	.
Við	fp1fn	ég
erum	sfg1fn	vera
þegar	aa	þegar
farnir	sþgkfn	fara
að	cn	að
sjá	sng	sjá
mikla	lveosf	mikill
aukningu	nveo	aukning
á	aþ	á
útflutningi	nkeþ	útflutningur
lax	nkee	lax
og	c	og
silungs	nkee	silungur
.	.	.
Icelandair	e	Icelandair
Cargo	e	Cargo
rekur	sfg3en	reka
tvær	tfvfo	tveir
fragtvélar	nvfo	fragtvél
,	,	,
eina	lveosf	einn
Boeing	e	Boeing
757	ta	757
sem	ct	sem
getur	sfg3en	geta
borið	ssg	bera
um	aa	um
38	ta	38
tonn	nhfo	tonn
og	c	og
eina	lveosf	einn
737	ta	737
fragtvél	nveo	fragtvél
sem	ct	sem
ber	sfg3en	bera
um	aa	um
18	ta	18
tonn	nhfo	tonn
.	.	.
Auk	ae	auk
þess	fphee	það
