sýnis	nhee	sýni
á	aþ	á
Framnesvegi	nkeþ-s	Framnesvegur
34	ta	34
.	.	.

Verð	nhen	verð
490	ta	490
þús.	as	þús.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
867	ta	867
8797	ta	8797
.	.	.

VW	as	VW
Golf	e	Golf
'	'	'
94	ta	94
til	ae	til
sölu	nvee	sala
.	.	.

Ekinn	lkensf	ekinn
150.000	ta	150.000
.	.	.

Í	aþ	í
góðu	lheþsf	góður
lagi	nheþ	lag
.	.	.

Gott	lhensf	góður
staðgreiðsluverð	nhen	staðgreiðsluverð
.	.	.

S.	as	s.
896	ta	896
1145	ta	1145
.	.	.

Dekurbíll	nken	dekurbíll
!	!	!

Ford	e	Ford
Escort	e	Escort
árg.	as	árg.
'	'	'
97	ta	97
.	.	.

ek.	as	ek.
30	ta	30
þ.	as	þ.

Beinskiptur	lkensf	beinskiptur
,	,	,
5	ta	5
dyra	nvfe	dyr
.	.	.

Mjög	aa	mjög
vel	aa	vel
með	aa	með
farinn	lkensf	farinn
konubíll	nken	konubíll
.	.	.

Gott	lhensf	góður
eintak	nhen	eintak
,	,	,
gott	lhensf	góður
verð	nhen	verð
480	ta	480
þ.	as	þ.

Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
824	ta	824
3005	ta	3005
.	.	.

Cherokee	e	Cherokee
Laredo	e	Laredo
árg.	as	árg.
'	'	'
91	ta	91
ekinn	lkensf	ekinn
200	ta	200
þús.	as	þús.

Verð	nhen	verð
320	ta	320
þús.	as	þús.

Síma	nkeþ	sími
849	ta	849
1007	ta	1007
.	.	.

Til	ae	til
sölu	nvee	sala
Mercur	e	Mercur
XR	e	XR
4	ta	4
Ti	e	Ti
'	'	'
85	ta	85
2,3	ta	2,3
turbo	e	turbo
.	.	.

5	ta	5
gíra	nkfe	gír
.	.	.

Eini	lkenvf	einn
á	aþ	á
landinu	nheþg	land
.	.	.

Flottur	lkensf	flottur
bíll	nken	bíll
.	.	.

Uppl.	as	uppl.

899	ta	899
4096	ta	4096
.	.	.

Toyota	e	Toyota
Corolla	e	Corolla
Si	e	Si
árg.	as	árg.
06/94	ta	06/94
,	,	,
topplúga	nven	topplúga
,	,	,
álfelgur	nvfn	álfelga
,	,	,
ný	lvensf	nýr
tímareim	nven	tímareim
,	,	,
ný	lvensf	nýr
kúpling	nven	kúpling
,	,	,
nýsk.	as	nýsk.
allur	foken	allur
nýyfirfarinn	lkensf	nýyfirfarinn
.	.	.

Verð	nhen	verð
400	ta	400
þús.	as	þús.

Á	aþ	á
sama	fbkeþ	sami
stað	nkeþ	staður
MMc	as	MMC
Galant	e	Galant
árg.	as	árg.
'	'	'
89	ta	89
,	,	,
verð	nhen	verð
120	ta	120
þús.	as	þús.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
862	ta	862
2505	ta	2505
.	.	.

Einstakt	lhensf	einstakur
tækifæri	nhen	tækifæri
.	.	.

Dodge	e	Dodge
1947	ta	1947
vörubíll	nken	vörubíll
,	,	,
þarfnast	sfm3en	þarfnast
uppgerðar	nvee	uppgerð
frá	aþ	frá
grunni	nkeþ	grunnur
.	.	.

V.	as	V.
290	ta	290
þús.	as	þús.
stgr	as	stgr
.	.	.

S.	as	s.
898	ta	898
8829	ta	8829
.	.	.

VW	as	VW
Golf	e	Golf
station	e	station
1600	ta	1600
vél	nven	vél
,	,	,
ekinn	lkensf	ekinn
108	ta	108
þ.	as	þ.

Árg.	as	Árg.
'	'	'
97	ta	97
.	.	.

Verð	nhen	verð
580	ta	580
þ.	as	þ.

Tilboð	nhen	tilboð
420	ta	420
þ.	as	þ.

Einnig	aa	einnig
Honda	e	Honda
CRX	e	CRX
V-Tec	e	V-Tec
'	'	'
91	ta	91
.	.	.

Svartur	lkensf	svartur
,	,	,
ek.	as	ek.
168	ta	168
þús.	as	þús.
160	ta	160
hö	x	hö
.	.	.

Verð	nhen	verð
