þessu	faheþ	þessi
blóðuga	lheþvf	blóðugur
framhaldi	nheþ	framhald
af	aþ	af
28	ta	28
Days	e	Days
Later	e	Later
.	.	.
Myndin	nveng	mynd
hefur	sfg3en	hafa
hlotið	ssg	hljóta
frábæra	lkfosf	frábær
dóma	nkfo	dómur
.	.	.
Robert	e	Robert
Carlyle	e	Carlyle
er	sfg3en	vera
viðurstyggilega	aa	viðurstyggilega
góður	lkensf	góður
!	!	!
Idol-dómarinn	nkeng	idoldómari
og	c	og
söngkonan	nveng	söngkona
Paula	e	Paula
Abdul	e	Abdul
hefur	sfg3en	hafa
verið	ssg	vera
greind	sþgven	greina
með	ao	með
taugasjúkdóminn	nkeog	taugasjúkdómur
RSD	as	RSD
sem	ct	sem
gerir	sfg3en	gera
það	fpheo	það
að	aþ	að
verkum	nhfþ	verk
að	c	að
hún	fpven	hún
þarf	sfg3en	þurfa
á	aþ	á
sterkum	lhfþsf	sterkur
verkjastillandi	lhfþof	verkjastillandi
lyfjum	nhfþ	lyf
til	ae	til
að	cn	að
komast	snm	koma
í	aa	í
gegnum	ao	gegnum
daginn	nkeog	dagur
.	.	.
Abdul	e	Abdul
hefur	sfg3en	hafa
verið	ssg	vera
nokkuð	fohen	nokkur
gagnrýnd	sþgven	gagnrýna
í	ao	í
vetur	nkeo	vetur
fyrir	ao	fyrir
að	cn	að
hafa	sng	hafa
virst	ssm	virða
áhugalaus	lvensf	áhugalaus
og	c	og
þreytt	lvensf	þreyttur
í	aþ	í
American	e	American
Idol-þáttunum	nkfþgs	Idolþáttur
og	c	og
hafa	sfg3fn	hafa
heyrst	ssm	heyra
sögusagnir	nvfn	sögusögn
um	ao	um
að	c	að
hún	fpven	hún
eigi	svg3en	eiga
við	ao	við
áfengisvandamál	nheo	áfengisvandamál
að	cn	að
stríða	sng	stríða
.	.	.
Abdul	e	Abdul
hefur	sfg3en	hafa
hrakið	ssg	hrekja
þær	favfo	sá
vangaveltur	nvfo	vangavelta
með	aþ	með
því	fpheþ	það
að	cn	að
viðurkenna	sng	viðurkenna
veikindi	nhfo	veikindi
sín	fehfo	sinn
.	.	.
«	«	«
Ég	fp1en	ég
hef	sfg1en	hafa
farið	ssg	fara
í	ao	í
fjórtán	tfvfo	fjórtán
aðgerðir	nvfo	aðgerð
og	c	og
er	sfg3en	vera
með	ao	með
fjórar	tfvfo	fjórir
títaníumplötur	nvfo	títaníumplata
í	aþ	í
hálsinum	nkeþg	háls
.	.	.
Ef	c	ef
ég	fp1en	ég
virðist	sfm1en	virða
uppgefin	lvensf	uppgefinn
í	aþ	í
sjónvarpinu	nheþg	sjónvarp
þá	aa	þá
er	sfg3en	vera
það	fphen	það
engin	foven	enginn
ímyndun	nven	ímyndun
,	,	,
ég	fp1en	ég
er	sfg1en	vera
það	fphen	það
í	aþ	í
alvöru	nveþ	alvara
.	.	.
Ég	fp1en	ég
fæ	sfg1en	fá
verkjaköst	nhfo	verkjakast
á	aþ	á
nóttunni	nveþg	nótt
sem	ct	sem
valda	sfg3fn	valda
svefnleysi	nheþ	svefnleysi
og	c	og
ég	fp1en	ég
þarf	sfg1en	þurfa
oft	aa	oft
á	aþ	á
lyfjum	nhfþ	lyf
að	cn	að
halda	sng	halda
til	ae	til
þess	fphee	það
að	cn	að
halda	sng	halda
daginn	nkeog	dagur
út	aa	út
,	,	,
»	»	»
segir	sfg3en	segja
Abdul	e	Abdul
.	.	.
RSD	as	RSD
er	sfg3en	vera
krónískur	lkensf	krónískur
taugasjúkdómur	nken	taugasjúkdómur
sem	ct	sem
veldur	sfg3en	valda
miklum	lkfþsf	mikill
verkjum	nkfþ	verkur
,	,	,
bólgu	nveþ	bólga
og	c	og
skertri	lveþsf	skertur
hreyfigetu	nveþ	hreyfigeta
.	.	.
Abdul	e	Abdul
segir	sfg3en	segja
að	c	að
bílslys	nhen	bílslys
sem	ct	sem
hún	fpven	hún
lenti	sfg3eþ	lenda
í	aa	í
fyrir	aþ	fyrir
nokkrum	fohfþ	nokkur
árum	nhfþ	ár
hafi	svg3en	hafa
markað	ssg	marka
upphafið	nheog	upphaf
að	aþ	að
sjúkdómnum	nkeþg	sjúkdómur
í	aþ	í
hennar	fpvee	hún
tilviki	nheþ	tilvik
.	.	.
«	«	«
Mér	fp1eþ	ég
hefur	sfg3en	hafa
hins	fakee	hinn
vegar	nkee	vegur
ekki	aa	ekki
liðið	ssg	líða
eins	aa	eins
vel	aa	vel
og	c	og
nú	aa	nú
í	ao	í
mörg	lhfosf	margur
ár	nhfo	ár
og	c	og
í	aþ	í
fyrri	lvfþvm	fyrri
þáttaröðum	nvfþ	þáttaröð
Idolsins	nheegs	Idol
mátti	sfg3eþ	mega
ekki	aa	ekki
miklu	lheþsf	mikill
muna	sng	muna
að	c	að
ég	fp1en	ég
hreinlega	aa	hreinlega
gæfist	svm1eþ	gefa
upp	aa	upp
.	.	.
En	c	en
þá	aa	þá
sá	sfg3eþ	sjá
enginn	foken	enginn
neitt	foheo	neinn
athugavert	lheosf	athugaverður
við	ao	við
mína	feveo	minn
framkomu	nveo	framkoma
.	.	.
Ég	fp1en	ég
hef	sfg1en	hafa
aldrei	aa	aldrei
verið	ssg	vera
drukkin	lvensf	drukkinn
í	aþ	í
sjónvarpssal	nkeþ	sjónvarpssalur
og	c	og
ég	fp1en	ég
er	sfg1en	vera
búin	lvensf	búinn
að	cn	að
fá	sng	fá
nóg	lheosf	nógur
af	aþ	af
því	fpheþ	það
að	cn	að
vera	sng	vera
sögð	sþgven	segja
alkóhólisti	nken	alkóhólisti
,	,	,
»	»	»
segir	sfg3en	segja
Abdul	e	Abdul
jafnframt	aa	jafnframt
og	c	og
er	sfg3en	vera
hin	gven	hinn
reiðasta	lvenve	reiður
.	.	.
Paula	e	Paula
Abdul	e	Abdul
með	ao	með
taugasjúkdóm	nkeo	taugasjúkdómur
Tuttugasta	lvenvf	tuttugasti
og	c	og
fyrsta	lvenve	fyrstur
sólóplata	nven	sólóplata
Bítilsins	nkeegs	Bítill
fyrrverandi	lkeeof	fyrrverandi
,	,	,
Pauls	nkee-s	Paul
McCartney	e	McCartney
,	,	,
kemur	sfg3en	koma
út	aa	út
í	ao	í
dag	nkeo	dagur
.	.	.
Platan	nveng	plata
heitir	sfg3en	heita
Memory	e	Memory
Almost	e	Almost
Full	e	Full
og	c	og
er	sfg3en	vera
fyrsta	lvenve	fyrstur
plata	nven	plata
hans	fpkee	hann
hjá	aþ	hjá
útgáfufyrirtækinu	nheþg	útgáfufyrirtæki
Hear	e	Hear
Music	e	Music
,	,	,
sem	ct	sem
er	sfg3en	vera
í	aþ	í
eigu	nveþ	eiga
kaffihúsakeðjunnar	nveeg	kaffihúsakeðja
Starbucks	e	Starbucks
og	c	og
plötufyrirtækisins	nheeg	plötufyrirtæki
Concord	e	Concord
Music	e	Music
Group	e	Group
.	.	.
Að	aþ	að
venju	nveþ	venja
semur	sfg3en	semja
McCartney	e	McCartney
öll	fohfo	allur
lög	nhfo	lag
og	c	og
texta	nkfo	texti
og	c	og
spilar	sfg3en	spila
hann	fpken	hann
nánast	aae	náið
á	ao	á
öll	fohfo	allur
hljóðfæri	nhfo	hljóðfæri
á	aþ	á
plötunni	nveþg	plata
.	.	.
Upptökur	nvfn	upptaka
á	aþ	á
plötunni	nveþg	plata
hófust	sfm3fþ	hefja
í	aþ	í
október	nkeþ	október
2003	ta	2003
og	c	og
lauk	sfg3eþ	ljúka
þeim	fpvfþ	hún
í	aþ	í
febrúar	nkeþ	febrúar
síðastliðnum	lkeþsf	síðastliðinn
.	.	.
Síðasta	lvenve	síðari
plata	nven	plata
McCartneys	e	McCartneys
,	,	,
Chaos	e	Chaos
and	e	and
Creation	e	Creation
in	e	in
the	e	the
Backyard	e	Backyard
,	,	,
kom	sfg3eþ	koma
út	aa	út
árið	nheog	ár
2005	ta	2005
og	c	og
fékk	sfg3eþ	fá
hún	fpven	hún
mjög	aa	mjög
góðar	lvfosf	góður
viðtökur	nvfo	viðtaka
.	.	.
Ný	lvensf	nýr
plata	nven	plata
frá	aþ	frá
McCartney	e	McCartney
Endurklippa	sng	endurklippa
þurfti	sfg3eþ	þurfa
tvö	tfhfo	tveir
ný	lhfosf	nýr
myndbönd	nhfo	myndband
hljómsveitarinnar	nveeg	hljómsveit
Jakobínarínu	nvee-s	Jakobínarína
vegna	ae	vegna
hættu	nvee	hætta
á	aþ	á
að	c	að
áhorfendur	nkfn	áhorfandi
þeirra	fpkfe	hann
fengju	svg3fþ	fá
flogakast	nheo	flogakast
.	.	.
Myndböndin	nhfng	myndband
voru	sfg3fþ	vera
gerð	sþghfn	gera
við	ao	við
lögin	nhfog	lag
Jesus	e	Jesus
og	c	og
This	e	This
In	e	In
An	e	An
Advertisment	e	Advertisment
og	c	og
verður	sfg3en	verða
hið	ghen	hinn
fyrra	lhenvm	fyrri
sýnt	sþghen	sýna
í	aþ	í
nýrri	lveþsf	nýr
útgáfu	nveþ	útgáfa
á	aþ	á
