seldur	sþgken	selja
.	.	.
Um	ao	um
8.	ta	8.
gr.	as	gr.
Þessi	faven	þessi
grein	nven	grein
er	sfg3en	vera
nýmæli	nhen	nýmæli
og	c	og
kveður	sfg3en	kveða
á	aa	á
um	ao	um
það	fpheo	það
að	c	að
umráðamönnum	nkfþ	umráðamaður
lands	nhee	land
,	,	,
sbr.	as	sbr.
skilgreiningu	nveo	skilgreining
á	aþ	á
umráðamanni	nkeþ	umráðamaður
lands	nhee	land
í	aþ	í
3.	ta	3.
gr.	as	gr.
laganna	nhfeg	lag
,	,	,
sé	svg3en	vera
heimilt	lhensf	heimill
að	cn	að
ákveða	sng	ákveða
að	c	að
tiltekið	lhensf	tiltekinn
og	c	og
afmarkað	lhensf	afmarkaður
landsvæði	nhen	landsvæði
sé	svg3en	vera
friðað	sþghen	friða
fyrir	aþ	fyrir
ágangi	nkeþ	ágangur
búfjár	nhee	búfé
.	.	.
Umráðamaður	nken	umráðamaður
lands	nhee	land
verður	sfg3en	verða
að	cn	að
uppfylla	sng	uppfylla
skilyrði	nhfo	skilyrði
um	ao	um
fullnægjandi	lvfoof	fullnægjandi
vörslulínur	nvfo	vörslulína
,	,	,
sbr.	as	sbr.
ákvæði	nheo	ákvæði
3.	ta	3.
gr.	as	gr.
laganna	nhfeg	lag
,	,	,
sem	ct	sem
teknar	sþgvfn	taka
hafa	sfg3fn	hafa
verið	ssg	vera
út	aa	út
af	aþ	af
búnaðarsambandi	nheþ	búnaðarsamband
.	.	.
Slíka	fbveo	slíkur
ákvörðun	nveo	ákvörðun
skal	sfg3en	skulu
tilkynna	sng	tilkynna
sveitarstjórn	nveþ	sveitarstjórn
,	,	,
sem	ct	sem
auglýsir	sfg3en	auglýsa
hana	fpveo	hún
í	aþ	í
Stjórnartíðindum	nhfþ-s	Stjórnartíðindi
.	.	.
Einnig	aa	einnig
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
það	fpheo	það
að	c	að
umráðamaður	nken	umráðamaður
lands	nhee	land
skuli	svg3en	skulu
framvísa	sng	framvísa
til	ae	til
sveitarstjórnar	nvee	sveitarstjórn
fyrir	ao	fyrir
15.	ta	15.
maí	nkeo	maí
á	aþ	á
hverju	foheþ	hver
vori	nheþ	vor
umsögn	nveþ	umsögn
búnaðarsambands	nhee	búnaðarsamband
um	ao	um
að	c	að
vörslulínur	nvfn	vörslulína
séu	svg3fn	vera
fullnægjandi	lvfnof	fullnægjandi
.	.	.
Um	ao	um
kostnað	nkeo	kostnaður
við	ao	við
uppsetningu	nveo	uppsetning
og	c	og
viðhald	nheo	viðhald
girðinga	nvfe	girðing
á	aþ	á
landamerkjum	nhfþ	landamerki
fer	sfg3en	fara
eftir	aþ	eftir
ákvæðum	nhfþ	ákvæði
girðingar-	nhfe	girðingarlög
og	c	og
vegalaga	nhfe	vegalög
.	.	.
En	c	en
sé	svg3en	vera
um	ao	um
að	cn	að
ræða	sng	ræða
girðingu	nveo	girðing
sem	ct	sem
er	sfg3en	vera
inni	aa	inni
á	aþ	á
landi	nheþ	land
umráðamanns	nkee	umráðamaður
landsins	nheeg	land
ber	sfg3en	bera
hann	fpken	hann
alfarið	aa	alfarið
þann	fakeo	sá
kostnað	nkeo	kostnaður
sem	ct	sem
hlýst	sfm3en	hljóta
af	aþ	af
uppsetningu	nveþ	uppsetning
og	c	og
viðhaldi	nheþ	viðhald
.	.	.
Um	ao	um
9.	ta	9.
gr.	as	gr.
Þessi	faven	þessi
grein	nven	grein
er	sfg3en	vera
einnig	aa	einnig
nýmæli	nhen	nýmæli
og	c	og
tekur	sfg3en	taka
til	ae	til
þeirra	fahfe	sá
svæða	nhfe	svæði
þar	aa	þar
sem	c	sem
lausaganga	nven	lausaganga
er	sfg3en	vera
bönnuð	lvensf	bannaður
samkvæmt	aþ	samkvæmt
heimild	nveþ	heimild
í	aþ	í
8.	ta	8.
gr.	as	gr.
Greinin	nveng	grein
fjallar	sfg3en	fjalla
um	ao	um
hvað	fsheo	hver
gera	sng	gera
